//* Dialogue lines start with a code like "v2;30;" which specify who is speaking and when the line shows up. Please copy it exactly in your translations.
//* First half of the line (till the /) is in the villagers' language and must be kept as-is, second part should be translated

newchat;key:sun,tag:notraining,weigth:18
//v2;240;Eímai stratiótis, óchi filósofos. Tha prépei na páte na prosefchitheíte sto Theó gia kathodígisi, kathós safós chreiázeste kápoio. / I'm a soldier, not a philosopher. You should go to pray to God for guidance as you clearly need some.
//v1;270;Écho ídi kai den écho típota perissótero apó ton Theó. Ótan prosefchómoun, émeina me to ídio sympérasma ópos écho tóra. / I already have and I got nothing more from God. When I prayed, I was left with the same conclusion as I have now.
//v2;300;Ti? Échete afísei safós ton Theó gia na min sas po tin alítheia! Pigaínete píso stin prosefchí méchri na borésete na skotósete kai páli tous varvárous! / What? You clearly have forsaken God for Him to not to tell you the truth! Go back to praying until you can kill barbarians again!
//v1;330;Ísos aftó eínai to sympérasma pou o Theós símane gia ména na écho! Tha páo na proséfchomai tóra. / Maybe this is conclusion God meant for me to have!
//v2;360;Akoúgetai perissótero ópos o Theós thélei na syntaxiodotitheíte ... / Sounds more like God wants you to retire...

newchat;key:soldiers2,v1:adult,v1:male,v1:vtype:soldier_byzantine,v2:adult,v2:male,v2:vtype:soldier_byzantine,weigth:3
v1;0;Elpízo óti den tha chreiasteí na bgoúme éxo kai na polemísoume opoiondípote bárbaro ópote sýntoma. / 外に出ても、すぐに野蛮人と戦わなくて済むと良いんだがなぁ
v2;30;Ti? Eímaste stratiótes, i douleiá mas eínai na bgoúme éxo kai na skotósoume bárbarous. Giatí tha beíte ston strató an den sas arései na agonízeste? / 何？私たちは兵士だぞ。野蛮人を殺すのが仕事だ。戦いが嫌いなら、どうして軍隊に入ったんだ？
v1;60;Skéftika óti o stratiótis tha ítan efkolóteros, to móno pou perímena na káno eínai na stamatíso kai na skotóso lígous óchlous kai to peristasiakó várvaro. Allá tóra ótan skotóno éna várvaro, koitázo to prósopó tou kai skéftomai, "Ísos den prépei na skotónoume aftoús tous anthrópous". / あぁ、兵士になるのは簡単だと思っていたさ。村を巡回して暴徒や野蛮人を殺す、ただそれだけで良いとね。でも野蛮人を初めて殺した時、彼の顔を見て思っちまったんだ。この人たちを殺すべきではないなぁってね
v2;120;Skéftesai pára polý! Vgeíte éxo kai skotóste várvarous gia ti Rómi. Tha mas skotósoun kai tha katastrépsoun ta spítia mas! Eínai móno asyneíditoi ágrioi. / それは考えすぎだ！ローマ帝国のために、野蛮人は殺してしまえばいい。奴らは私達を殺戮して、お前の家も破壊するんだぞ！ただの野蛮人だ
v1;150;Synantísate aftoús tous anthrópous pou kirýttete na skotónete? Óchi, den échete, ísos eínai diaforetikoí apó aftó pou mas eípan. / 殺せと命令されているあの連中に、お前は会ったことがあるのか？いや、そんなはずないだろう。多分、彼らは私たちが教え込まれたような輩とは異なるかもしれない
v2;180;Eínai alítheia óti tha boroúsan na eínai polý cheirótera. / あぁ、そうかもな。もっと酷い輩やもしれん
v1;210;Den nomízo óti katalavaínete tis sképseis kai ta deiná pou pernáo. / 私の意見や困惑を理解してくれないのか
v2;240;Eímai stratiótis, óchi filósofos. Tha prépei na páte na prosefchitheíte sto Theó gia kathodígisi, kathós safós chreiázeste kápoio. / 一介の兵士であって、哲学者ではないからな。お前は導きを求めて神に祈りに行くべきだ
v1;270;Den écho típota perissótero apó ton Theó. Ótan prosefchómoun, émeina me to ídio sympérasma ópos écho kai tóra. / すでにそうしたんだけれど、神はこれ以上の答えなど教えてくださらなかった。祈ってみたところ、今の私と同じ結論に至ったよ
v2;300;Ti? Échete afísei safós ton Theó gia na min sas pei tin alítheia! Pigaínete píso stin prosefchí méchri na borésete na skotósete kai páli tous varvárous! / 何だって？お前は明らかに神を見放している。だから神は真実を教えてくれないんだ。もう一度蛮族を殺せるようになるまで、祈りに戻るべきだ！
v1;330;Ísos aftó eínai to sympérasma pou o Theós símane gia ména na écho! Tha páo na proséfchitho tóra. / これこそ神が私に与えてくださった結論かもしれないよ！
v2;360;Akoúgetai perissótero san o Theós na thélei na syntaxiodotitheíte ... / 神はお前が退役することを望んでいるように聞こえるが...

newchat;key:kidsBos,v1:child,v2:child,weigth:5
v1;0;Bahh… Bahhh… Eimai o Boskokratoras!/ Bahhh...Bahhh...俺は羊飼いの王様だ！
v2;30;Stamáta to! Tha ton kalésete me aftón ton tropo! / やめろ！それで彼を召喚するつもりか！
v1;60;O Boskokrátor, sas xtizo énan ieró tópo… / あぁBoskokratorよ、聖地を捧げましょう...
v2;90;Skáse! Den xérete ti symvaínei ston mýtho? / 黙れ！伝承だと何が起きたのか知らないわけじゃないよな？
v1;120;$targetfirstname, klápse moró! Eínai móno aftó! Enas mýthos! / $targetfirstnameの泣き虫め！たかが伝承だよ！
